participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started_utc;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.payoff;player.player_role;player.player_id_in_role;player.matching_group_id;player.price1_offer;player.price2_offer;player.action_chosen;player.price_paid;player.interaction;player.cq_q1;player.cq_q2;player.cq_q3;player.cq_q4;player.player_b_type;player.revenue;player.round_payoff;player.total_payoff_points;player.total_payoff_euros;player.participation_fee;player.total_payment;player.partner_price1;player.partner_price2;player.partner_interaction;player.partner_action;player.partner_price_paid;group.id_in_subsession;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
24;wmigp942;238;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.889981;1;;;87.0;2;;9.0;B;B4;3;;;;;1;;;;;2;;9.0;0.0;0.0;0.0;0.0;9;9;;1;9;11;14;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
1;0ugg7scm;615;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.315306;1;;;113.0;1;;1.0;A;A1;1;3;8;;;;;;;;0;0;1.0;0.0;0.0;0.0;0.0;;;0;;;4;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
2;k4v0d1nm;752;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.325536;1;;;141.0;1;;11.0;A;A2;1;4;8;1;4;;;;;;2;16;11.0;0.0;0.0;0.0;0.0;;;1;;;3;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
3;6w0y4ryo;157;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.329862;1;;;134.0;1;;6.0;A;A3;1;4;6;2;4;;;;;;1;16;6.0;0.0;0.0;0.0;0.0;;;1;;;1;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
4;l62qmdwr;473;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.334044;1;;;139.0;1;;6.0;A;A4;1;4;8;2;4;;;;;;1;16;6.0;0.0;0.0;0.0;0.0;;;1;;;2;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
5;5x77ob8o;777;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.337984;1;;;42.0;2;;1.0;B;B1;1;;;;;0;;;;;0;;1.0;0.0;0.0;0.0;0.0;3;8;;;;4;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
6;yom67odu;634;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.342715;1;;;55.0;2;;4.0;B;B2;1;;;;;1;;;;;1;;4.0;0.0;0.0;0.0;0.0;4;8;;2;4;2;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
7;14c01e84;579;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.346889;1;;;44.0;2;;4.0;B;B3;1;;;;;1;;;;;2;;4.0;0.0;0.0;0.0;0.0;4;8;;1;4;3;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
8;fx01r2oz;523;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.351053;1;;;51.0;2;;4.0;B;B4;1;;;;;1;;;;;1;;4.0;0.0;0.0;0.0;0.0;4;6;;2;4;1;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
9;uqybk69g;110;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.355431;1;;;125.0;1;;5.0;A;A1;2;4;6;1;4;;;;;;1;10;5.0;0.0;0.0;0.0;0.0;;;1;;;8;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
10;r8wp6smc;397;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.359864;1;;;153.0;1;;12.0;A;A2;2;3;5;1;3;;;;;;2;16;12.0;0.0;0.0;0.0;0.0;;;1;;;7;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
11;ghcphao3;217;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.381263;1;;;123.0;1;;11.0;A;A3;2;4;8;1;4;;;;;;2;16;11.0;0.0;0.0;0.0;0.0;;;1;;;5;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
12;7gs3rbrs;131;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.385581;1;;;79.0;1;;7.0;A;A4;2;2;3;2;3;;;;;;2;16;7.0;0.0;0.0;0.0;0.0;;;1;;;6;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
13;6xdp42ba;816;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.390838;1;;;61.0;2;;4.0;B;B1;2;;;;;1;;;;;2;;4.0;0.0;0.0;0.0;0.0;4;8;;1;4;5;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
14;otnz44qt;341;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.395191;1;;;56.0;2;;3.0;B;B2;2;;;;;1;;;;;2;;3.0;0.0;0.0;0.0;0.0;2;3;;2;3;6;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
15;bkmq2ib7;748;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.399941;1;;;64.0;2;;4.0;B;B3;2;;;;;1;;;;;1;;4.0;0.0;0.0;0.0;0.0;4;6;;1;4;8;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
16;d3v906nl;300;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.414058;1;;;78.0;2;;3.0;B;B4;2;;;;;1;;;;;2;;3.0;0.0;0.0;0.0;0.0;3;5;;1;3;7;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
17;mhebh6oq;259;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.418232;1;;;130.0;1;;6.0;A;A1;3;4;7;2;4;;;;;;1;16;6.0;0.0;0.0;0.0;0.0;;;1;;;9;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
18;j86upn1a;609;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.430729;1;;;69.0;1;;6.0;A;A2;3;9;9;1;9;;;;;;2;16;6.0;0.0;0.0;0.0;0.0;;;1;;;10;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
19;nsy3nizc;145;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.434965;1;;;128.0;1;;5.0;A;A3;3;5;7;2;5;;;;;;1;16;5.0;0.0;0.0;0.0;0.0;;;1;;;12;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
20;fv5g6cgp;451;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.568016;1;;;118.0;1;;11.0;A;A4;3;4;6;1;4;;;;;;2;16;11.0;0.0;0.0;0.0;0.0;;;1;;;11;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
21;a6kaaeaq;402;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.573643;1;;;82.0;2;;9.0;B;B1;3;;;;;1;;;;;2;;9.0;0.0;0.0;0.0;0.0;9;9;;1;9;10;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
22;hldg1yc0;680;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.686473;1;;;71.0;2;;4.0;B;B2;3;;;;;1;;;;;1;;4.0;0.0;0.0;0.0;0.0;4;7;;2;4;9;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
23;rlmxs831;825;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.691099;1;;;71.0;2;;4.0;B;B3;3;;;;;1;;;;;2;;4.0;0.0;0.0;0.0;0.0;4;6;;1;4;11;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
24;wmigp942;238;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.889981;1;;;87.0;2;;5.0;B;B4;3;;;;;1;;;;;1;;5.0;0.0;0.0;0.0;0.0;5;7;;2;5;12;15;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
1;0ugg7scm;615;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.315306;1;;;113.0;1;;6.0;A;A1;1;4;9;2;4;;;;;;1;16;6.0;113.0;28.25;5.0;33.25;;;1;;;4;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
2;k4v0d1nm;752;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.325536;1;;;141.0;1;;11.0;A;A2;1;4;8;1;4;;;;;;2;16;11.0;141.0;35.25;5.0;40.25;;;1;;;3;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
3;6w0y4ryo;157;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.329862;1;;;134.0;1;;6.0;A;A3;1;4;6;2;4;;;;;;1;16;6.0;134.0;33.5;5.0;38.5;;;1;;;1;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
4;l62qmdwr;473;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.334044;1;;;139.0;1;;11.0;A;A4;1;4;8;1;4;;;;;;2;16;11.0;139.0;34.75;5.0;39.75;;;1;;;2;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
5;5x77ob8o;777;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.337984;1;;;42.0;2;;4.0;B;B1;1;;;;;1;;;;;1;;4.0;42.0;10.5;5.0;15.5;4;6;;2;4;1;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
6;yom67odu;634;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.342715;1;;;55.0;2;;4.0;B;B2;1;;;;;1;;;;;1;;4.0;55.0;13.75;5.0;18.75;4;9;;2;4;4;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
7;14c01e84;579;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.346889;1;;;44.0;2;;4.0;B;B3;1;;;;;1;;;;;2;;4.0;44.0;11.0;5.0;16.0;4;8;;1;4;2;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
8;fx01r2oz;523;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.351053;1;;;51.0;2;;4.0;B;B4;1;;;;;1;;;;;2;;4.0;51.0;12.75;5.0;17.75;4;8;;1;4;3;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
9;uqybk69g;110;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.355431;1;;;125.0;1;;11.0;A;A1;2;4;6;1;4;;;;;;2;16;11.0;125.0;31.25;5.0;36.25;;;1;;;8;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
10;r8wp6smc;397;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.359864;1;;;153.0;1;;12.0;A;A2;2;3;5;1;3;;;;;;2;16;12.0;153.0;38.25;5.0;43.25;;;1;;;6;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
11;ghcphao3;217;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.381263;1;;;123.0;1;;13.0;A;A3;2;2;7;1;2;;;;;;2;16;13.0;123.0;30.75;5.0;35.75;;;1;;;7;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
12;7gs3rbrs;131;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.385581;1;;;79.0;1;;5.0;A;A4;2;4;5;2;5;;;;;;2;16;5.0;79.0;19.75;5.0;24.75;;;1;;;5;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
13;6xdp42ba;816;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.390838;1;;;61.0;2;;5.0;B;B1;2;;;;;1;;;;;2;;5.0;61.0;15.25;5.0;20.25;4;5;;2;5;5;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
14;otnz44qt;341;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.395191;1;;;56.0;2;;4.0;B;B2;2;;;;;1;;;;;2;;4.0;56.0;14.0;5.0;19.0;4;6;;1;4;8;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
15;bkmq2ib7;748;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.399941;1;;;64.0;2;;2.0;B;B3;2;;;;;1;;;;;2;;2.0;64.0;16.0;5.0;21.0;2;7;;1;2;7;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
16;d3v906nl;300;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.414058;1;;;78.0;2;;3.0;B;B4;2;;;;;1;;;;;2;;3.0;78.0;19.5;5.0;24.5;3;5;;1;3;6;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
17;mhebh6oq;259;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.418232;1;;;130.0;1;;11.0;A;A1;3;4;7;1;4;;;;;;2;16;11.0;130.0;32.5;5.0;37.5;;;1;;;11;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
18;j86upn1a;609;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.430729;1;;;69.0;1;;7.0;A;A2;3;2;2;1;2;;;;;;1;10;7.0;69.0;17.25;5.0;22.25;;;1;;;12;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
19;nsy3nizc;145;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.434965;1;;;128.0;1;;10.0;A;A3;3;5;7;1;5;;;;;;2;16;10.0;128.0;32.0;5.0;37.0;;;1;;;10;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
20;fv5g6cgp;451;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.568016;1;;;118.0;1;;6.0;A;A4;3;4;6;2;4;;;;;;1;16;6.0;118.0;29.5;5.0;34.5;;;1;;;9;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
21;a6kaaeaq;402;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.573643;1;;;82.0;2;;4.0;B;B1;3;;;;;1;;;;;1;;4.0;82.0;20.5;5.0;25.5;4;6;;2;4;9;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
22;hldg1yc0;680;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.686473;1;;;71.0;2;;4.0;B;B2;3;;;;;1;;;;;2;;4.0;71.0;17.75;5.0;22.75;4;7;;1;4;11;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
23;rlmxs831;825;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.691099;1;;;71.0;2;;2.0;B;B3;3;;;;;1;;;;;1;;2.0;71.0;17.75;5.0;22.75;2;2;;1;2;12;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
24;wmigp942;238;0;260;260;payment_uar;RedirectUAR;2025-11-14 13:27:15.889981;1;;;87.0;2;;5.0;B;B4;3;;;;;1;;;;;2;;5.0;87.0;21.75;5.0;26.75;5;7;;1;5;10;16;e62svv4s;Session 1 - Pilote;;;"15min avant de débuter pour remplir les cohortes   P23, P3 et P5 très rapides   Problème de traduction ""profit"" au lieu de ""gain""  ";0
